Index,Year,Player,Pos,Age,Tm,G,GS,MP,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
9558,2003,Tariq Abdul-Wahad,SG,28,DAL,14,0,204,15,12.4,0.47,0.017,0.103,7.6,14,10.8,15.4,1.5,1.1,10.3,15,0.2,0.2,0.4,0.104,-1.2,0.7,-0.5,0.1,27,58,0.466,0,1,0,27,57,0.474,0.466,3,6,0.5,14,26,40,21,6,3,7,26,57
9559,2003,Shareef Abdur-Rahim,PF,26,ATL,81,81,3087,38,19.9,0.566,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13,24.2,7.4,2.3,9.7,0.151,2.1,-0.4,1.7,2.8,566,1183,0.478,21,60,0.35,545,1123,0.485,0.487,455,541,0.841,175,502,677,242,87,38,212,240,1608
9560,2003,Courtney Alexander,PG,25,NOH,66,7,1360,21,9.3,0.459,0.113,0.289,3.3,6.8,5,9.8,1.2,0.3,10.7,21.3,0.1,1,1.1,0.04,-3.2,-2.3,-5.5,-1.2,193,505,0.382,19,57,0.333,174,448,0.388,0.401,118,146,0.808,39,79,118,79,31,6,68,125,523
9561,2003,Malik Allen,PF,24,MIA,80,73,2318,29,9.9,0.455,0.005,0.153,6.5,14.9,10.6,4.4,0.9,2.6,13.2,19.7,-1.7,2.6,0.9,0.018,-4.6,0.6,-3.9,-1.1,335,790,0.424,0,4,0,335,786,0.426,0.424,97,121,0.802,134,291,425,54,37,78,128,234,767
9562,2003,Ray Allen,SG,27,TOT,76,75,2880,38,21.3,0.565,0.391,0.253,3.8,11.8,7.8,21.6,1.9,0.4,11.6,27.8,7.6,1.5,9.1,0.152,5.6,-1.8,3.7,4.2,598,1363,0.439,201,533,0.377,397,830,0.478,0.512,316,345,0.916,94,287,381,334,103,14,198,220,1713
9565,2003,Rafer Alston,PG,26,TOR,47,4,980,21,14.4,0.51,0.388,0.161,2.3,10.4,6.2,34,2.1,1.1,19.3,20.7,0.7,0.5,1.2,0.059,0.6,-2.1,-1.5,0.1,139,335,0.415,51,130,0.392,88,205,0.429,0.491,37,54,0.685,21,86,107,192,38,15,86,120,366
9566,2003,John Amaechi,C,32,UTA,50,1,474,9,3.1,0.351,0,0.441,6.9,12.5,9.8,6.8,1.6,1.1,19.4,17,-1.1,0.4,-0.7,-0.07,-7,-0.5,-7.5,-0.7,37,118,0.314,0,0,0,37,118,0.314,0.314,25,52,0.481,26,51,77,21,14,7,34,50,99
9567,2003,Chris Andersen,C,24,DEN,59,3,907,15,14,0.44,0.004,0.491,13.3,22.3,17.6,6.3,1.7,5.3,14.8,19.9,-0.5,1.7,1.1,0.059,-4.8,2.1,-2.7,-0.2,114,285,0.4,0,1,0,114,284,0.401,0.4,77,140,0.55,109,165,274,32,30,60,60,90,305
9568,2003,Derek Anderson,PG,28,POR,76,76,2556,34,16.9,0.556,0.398,0.323,2.5,10,6.2,20.7,1.9,0.5,11.9,19.5,5.9,2.2,8.1,0.153,3.1,-0.6,2.5,2.9,355,832,0.427,116,331,0.35,239,501,0.477,0.496,231,269,0.859,53,211,264,325,90,16,128,141,1057
9569,2003,Kenny Anderson,PG,32,TOT,61,2,1135,19,13.6,0.457,0.018,0.149,3.2,10.6,6.8,29.8,2.8,0.3,15.6,19.7,0.4,1.3,1.6,0.069,-1.9,-0.3,-2.1,0,163,382,0.427,1,7,0.143,162,375,0.432,0.428,45,57,0.789,31,101,132,198,58,5,75,106,372
9572,2003,Shandon Anderson,SF,29,NYK,82,9,1731,21,13.4,0.553,0.261,0.354,4.2,13.2,8.6,8.3,2.2,0.8,15.5,19.6,1.2,1.4,2.7,0.074,-0.6,-0.2,-0.8,0.5,248,537,0.462,52,140,0.371,196,397,0.494,0.51,139,190,0.732,64,190,254,87,73,20,114,177,687
9573,2003,Robert Archibald,PF,22,MEM,12,0,72,6,2.4,0.34,0,0.9,9.5,17,13.3,6.1,0,2.9,20,21.8,-0.3,0,-0.2,-0.158,-9.5,-2.2,-11.7,-0.2,6,20,0.3,0,0,0,6,20,0.3,0.3,7,18,0.389,6,11,17,3,0,3,7,9,19
9574,2003,Gilbert Arenas,PG,21,GSW,82,82,2866,35,18.6,0.54,0.265,0.397,3.6,10.6,7.2,30,2.2,0.4,17.3,24.9,5.8,0.7,6.5,0.109,3.9,-1.6,2.2,3.1,509,1180,0.431,109,313,0.348,400,867,0.461,0.478,370,468,0.791,97,289,386,514,124,17,290,260,1497
9575,2003,Brandon Armstrong,SG,22,NJN,17,0,69,4,3.9,0.405,0.222,0.222,0,6.6,3.3,4.8,2.3,1.1,14.4,22.6,-0.2,0.1,-0.1,-0.05,-7.7,-1.8,-9.5,-0.1,9,27,0.333,1,6,0.167,8,21,0.381,0.352,5,6,0.833,0,4,4,2,3,1,5,8,24
9576,2003,Darrell Armstrong,PG,34,ORL,82,23,2350,29,14.6,0.53,0.361,0.292,4.3,10.2,7.2,21.7,3,0.4,18.1,16.9,2.7,2.2,4.9,0.1,0.8,0.3,1.2,1.9,263,643,0.409,78,232,0.336,185,411,0.45,0.47,165,188,0.878,91,204,295,323,135,13,160,167,769
